date,shift,hour,hourtime,trucks,truck_class,digger,digger_class,pit,material_type,std_material_tonnage,std_material_volume,actual_tonnage_payload,distance_empty_meter,distance_loaded_meter,traveling_time_seconds,waiting_time_seconds,spotting_time_seconds,loading_time_seconds,hauling_time_seconds,queued_time_seconds,backing_time_seconds,tipping_time_seconds,shovel_hang_time_seconds
6/25/2020,Day,8,8:40 AM,RD0034,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,163.6,1352,1352,184,73,29,127,183,3,34,28,0
6/25/2020,Day,8,8:40 AM,RD0035,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,162.8,1420,1412,187,20,15,119,248,11,36,27,72
6/25/2020,Day,8,8:40 AM,RD0013,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,161.3,2778,2778,310,253,24,95,459,2,31,29,0
6/25/2020,Day,8,8:40 AM,RD0041,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,140.9,2778,2778,281,191,17,94,441,3,25,24,0
6/25/2020,Day,8,8:40 AM,RD0056,CAT789,EX017,H3600,Pit-B,Waste,205,81,175.7,2285,2285,210,73,1,169,440,3,26,50,0
6/25/2020,Day,8,8:40 AM,RD0014,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,146.9,2767,2778,306,107,16,95,483,1,22,38,0
6/25/2020,Day,8,8:40 AM,RD0018,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,156.6,2835,2835,301,117,14,143,533,1,30,29,0
6/25/2020,Day,8,8:40 AM,RD0057,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,159.5,2855,2798,314,208,22,192,544,2,25,38,0
6/25/2020,Day,8,8:40 AM,RD0036,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,139.9,2287,2096,323,7,1,101,448,16,24,28,186
6/25/2020,Day,8,8:40 AM,RD0053,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,154.4,2096,2096,205,40,47,93,428,11,1,28,0
6/25/2020,Day,8,8:40 AM,RD0032,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,149.2,2822,2835,473,107,9,163,535,4,28,40,0
6/25/2020,Day,8,8:40 AM,RD0019,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,168.5,1936,2120,192,187,13,242,485,0,29,30,106
6/25/2020,Day,8,8:40 AM,RD0058,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,172.7,2096,2096,314,3,11,121,477,4,22,32,33
6/25/2020,Day,8,8:40 AM,RD0059,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,140.6,2772,2772,326,50,18,113,528,5,33,26,0
6/25/2020,Day,8,8:40 AM,RD0048,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,158.8,1412,1412,143,3,16,111,248,5,32,36,47
6/25/2020,Day,8,8:40 AM,RD0024,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,145.6,2772,2772,312,52,13,123,497,3,27,26,0
6/25/2020,Day,8,8:40 AM,RD0043,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,145.8,2789,2789,315,14,0,102,587,1,32,34,86
6/25/2020,Day,8,8:40 AM,RD0008,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,172.1,2345,2345,253,2,31,136,513,3,28,28,32
6/25/2020,Day,8,8:40 AM,RD0060,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,160.9,2345,2345,258,78,9,145,482,4,32,29,0
6/25/2020,Day,8,8:40 AM,RD0044,CAT785,EX014,H3600,Pit-B,Waste,163,64.5,149.6,2096,2096,279,89,18,113,545,3,29,30,0
6/25/2020,Day,8,8:40 AM,RD0061,CAT789,EX015,H5500,Pit-C,Waste,205,81,198.1,1170,3687,20,19,74,112,666,3,30,43,0
6/25/2020,Day,8,8:40 AM,RD0023,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,172.6,1412,1412,163,112,19,102,270,4,30,26,0
6/25/2020,Day,8,8:40 AM,RD0020,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,152.6,2798,2798,292,4,16,192,542,3,23,32,160
6/25/2020,Day,8,8:40 AM,RD0049,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,147.6,2772,2772,293,3,10,110,506,3,26,33,12
6/25/2020,Day,8,8:40 AM,RD0006,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,164.3,3228,2835,278,143,17,169,487,2,34,32,0
6/25/2020,Day,8,8:40 AM,RD0062,CAT785,EX011,H2500,Pit-B,Waste,163,64.5,148.6,2388,2579,256,3,10,165,597,4,24,31,169
6/25/2020,Day,8,8:40 AM,RD0063,CAT789,EX015,H5500,Pit-C,Waste,205,81,186.6,3687,1267,502,0,0,74,216,0,30,26,18
6/25/2020,Day,8,8:40 AM,RD0039,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,151.8,2815,2789,356,165,0,101,595,2,24,42,0
6/25/2020,Day,8,8:40 AM,RD0022,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,146.4,2789,2789,327,137,18,98,582,4,27,34,0
6/25/2020,Day,8,8:40 AM,RD0046,CAT789,EX010,H5500,Pit-C,Waste,205,81,206.3,1285,1285,272,112,29,162,214,4,29,31,0
6/25/2020,Day,8,8:40 AM,RD0048,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,153.9,1412,1412,155,107,10,88,259,3,32,38,0
6/25/2020,Day,7,7:40 AM,RD0052,CAT785,EX006,H2500,Pit-A,Waste,163,64.5,172.1,2120,2254,400,312,70,428,528,3,35,38,0
6/25/2020,Day,8,8:40 AM,RD0015,CAT785,EX012,H3600,Pit-A,Waste,163,64.5,153,2789,2789,311,167,16,102,551,4,27,33,0
6/25/2020,Day,8,8:40 AM,RD0030,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,153.9,2778,2544,276,178,17,94,462,4,29,34,0
6/25/2020,Day,8,8:40 AM,RD0027,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,134.7,5174,3069,865,3,11,89,479,0,28,26,76
6/25/2020,Day,8,8:40 AM,RD0055,CAT785,EX013,H2500,Pit-C,Waste,163,64.5,154,1334,1143,189,179,44,202,274,6,30,33,0
6/25/2020,Day,8,8:40 AM,RD0036,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,159.7,2772,2772,302,4,12,103,512,5,22,24,157
6/25/2020,Day,8,8:40 AM,RD0053,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,155.7,2772,2772,289,38,15,91,478,1,30,28,0
6/25/2020,Day,8,8:40 AM,RD0035,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,164.1,1420,1412,156,116,14,106,281,4,39,31,0
6/25/2020,Day,8,8:40 AM,RD0050,CAT785,EX009,H3600,Pit-B,Waste,163,64.5,163,2772,2772,315,2,7,123,491,18,15,26,59
6/25/2020,Day,8,8:40 AM,RD0064,CAT785,EX013,H2500,Pit-C,Waste,163,64.5,156.7,1334,1334,251,63,11,197,299,0,29,33,0
6/25/2020,Day,8,8:40 AM,RD0042,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,157.8,1412,1412,148,97,19,105,280,2,35,34,0
6/25/2020,Day,8,8:40 AM,RD0065,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,140.8,2855,2798,314,6,0,170,567,4,25,30,59
6/25/2020,Day,8,8:40 AM,RD0035,CAT785,EX008,H3600,Pit-B,Waste,163,64.5,161.9,1420,1412,145,51,19,96,293,1,32,26,0
6/25/2020,Day,8,8:40 AM,RD0066,CAT785,EX013,H2500,Pit-C,Waste,163,64.5,150.1,2539,1334,182,208,15,181,284,0,30,38,0
6/25/2020,Day,8,8:40 AM,RD0067,CAT785,EX015,H5500,Pit-C,Waste,163,64.5,150.5,3411,3687,340,294,13,74,714,3,23,34,0
6/25/2020,Day,8,8:40 AM,RD0068,CAT777D-WASTE,EX016,H2500,Pit-C,Waste,115,45,111.223,2886,1303,101,4,11,138,396,1,0,27,402
6/25/2020,Day,8,8:40 AM,RD0041,CAT785,EX005,H3600,Pit-A,Waste,163,64.5,131.4,2835,2835,283,77,15,146,427,2,26,28,0
6/25/2020,Day,8,8:40 AM,RD0025,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,142.9,1353,1353,200,104,11,119,213,5,27,35,0
6/25/2020,Day,8,8:40 AM,RD0034,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,152.3,1353,1353,181,92,31,144,191,4,35,27,0
6/25/2020,Day,8,8:40 AM,RD0020,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,155.9,2345,2479,286,9,36,93,512,0,27,36,191
6/25/2020,Day,8,8:40 AM,RD0005,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,170.5,2778,2778,260,92,17,93,491,4,20,30,0
6/25/2020,Day,8,8:40 AM,RD0021,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,163.6,2345,2479,239,23,20,119,486,0,29,36,5
6/25/2020,Day,8,8:40 AM,RD0010,CAT785,EX007,H2500,Pit-A,Waste,163,64.5,149.6,2798,2798,290,36,15,205,536,3,25,31,16
6/25/2020,Day,8,8:40 AM,RD0002,CAT785,EX002,H3600,Pit-D,Waste,163,64.5,161.7,1352,1353,191,89,14,129,189,3,27,33,0
6/25/2020,Day,8,8:40 AM,RD0011,CAT785,EX003,H3600,Pit-A,Waste,163,64.5,153.2,2778,2778,307,4,9,84,464,5,21,34,54
6/25/2020,Day,8,8:40 AM,RD0037,CAT789,EX010,H5500,Pit-C,Waste,205,81,197.4,1285,3705,199,287,12,141,746,1,28,36,0
6/25/2020,Day,8,8:40 AM,RD0031,CAT789,EX010,H5500,Pit-C,Waste,205,81,201.5,1285,1285,193,248,12,181,197,32,30,24,0
6/25/2020,Day,13,1:40 PM,RD0011,CAT785,EX004,H3600,Pit-A,Waste,163,64.5,159.8,2516,2516,799,2,0,125,483,59,0,30,50
